ResponsibleDepartment,Reason,Notes
Data Entry,Procedure,REFILL RESPONSE LEFT IN TRIAGE INSTEAD OF MOVED TO REFILL QUEUE
Medical Records,HOA/FREQUENCY/FILL LIST,2ND MSIR HOA
Data Entry,Procedure,REFILL RESPONSE LEFT IN TRIAGE INSTEAD OF MOVED TO REFILL QUEUE
Data Entry,Billing Error,BT receives P5 pricing on OTC's.  (OTC was billed as Extended Care pricing).
Billing,Matrix Error,Billing Matrix for UHC was not set up correctly.
Data Entry,HOA/FREQUENCY/FILL LIST,"FREQ=T FOR ALL CRM'S, OINT, TOPICAL FOR FAC "
Pharmacist,Billing Error,OTC was cashed out for an AHCCCS patient.  Mercy Care AHCCCS pays as secondary.
Data Entry Misc,Billing Error,ZNM1 receives Brookdale Cash for OTC's.  (OTC was billed as Extended Care).
Data Entry Misc,Billing Error,ZNM1 receives Brookdale Cash for OTC's.  (OTC was billed as Extended Care).
Billing,Matrix Error,The Billing Matrix for Tribal RBHA was not set up correctly.
Data Entry,Back Screen/Days Supply,"
"
Data Entry,HOA/FREQUENCY/FILL LIST,"HOA FOR NARC SHOULD USE W/B FOR PAIN SCALE "
Data Entry,HOA/FREQUENCY/FILL LIST,"PER FAC ALL TOPICAL FREQ=T FOR TREATMENT SHEET "
Data Entry,HOA/FREQUENCY/FILL LIST,"SHORT TERM 2 DAY ORDER ON MAR "
Data Entry Misc,Document Error,COMPLETED INSTEAD OF GOING TO RPH REVIEW
Data Entry,Triage - Missed D/C,"
"
Data Entry,Billing Error,BGMC receives P5 pricing on OTC's.  (OTC was billed as Extended Care pricing).
Billing,Procedure,PA FORM NOT FILLED OUT
Billing,Billing Error,We have an ABN form on file.  We need to be honoring the agreed upon prices by billing to ABN PRICING.  OTC was billed to Extended Care.
Billing,Billing Error,PQ receives P5 pricing for OTC's.  (OTC was billed as Extended Care pricing).
Billing,Billing Error,PQ receives P5 pricing on OTC's.  (OTC was billed as Extended Care pricing).
Data Entry,Document Error,"NOT PA DOC, THIS SI WORKER COMP AND GOES IN BILLING TRIAGE "
Data Entry,Billing Error,"There was a QS/1 note to bill the facility for this.  This was not done.  "
Data Entry,Billing Error,sent OTC when profile states not to
Billing,Billing Error,BTSS receives P5 pricing for OTC's.  (OTC was billed as Extended Care).
Billing,Matrix Error,The billing matrix and insurance profile for UHC plan AHCCCS was not set up correctly.
Data Entry,Procedure,Zone patient In Care Of did not follow zone convention
Data Entry,Procedure,"Zone patient, In Care Of did not follow zone convention"
Billing,Billing Error,MMF SENT CLAIM NOT VOIDED MED GOT DELIVERED DOC 17818418
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"
"
Data Entry Phone Team,Date Written,"
"
Data Entry,SIG/MULTI-SIG/DIRECTIONS,8HRS
Billing,Billing Error,VP receives P5 pricing on OTC's.  (OTC was billed as Extended Care pricing).
Billing,Billing Error,VP receives P5 pricing on OTC's.  (OTC was billed as Extended Care pricing).
Data Entry,Billing Error,"MED REJECT AND DOC WAS COMPLETED , MED LEFT UNPAID "
Data Entry,Billing Error,"NEW ADMIT REFILL TOO SOON , WAS NOT CALLED ON AND LEFT UNPAID, BILLING WAS ABLE TO GET OVERRIDE "
Fulfillment CF,Extra/Missing Pill(s),SYNMED JUMPER
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION
Fulfillment CF,Packaging,CARD NOT SEALED -SYNMED
Fulfillment CF,Packaging,CARD NOT SEALED - SYNMED
Fulfillment PA,Missing Drug (FF),MISSING CARD
Fulfillment DLY,Quantity,TO MANY ENOXAPRIN SYRINGES
Fulfillment DLY,Label Issue,NOT TAG FOR THE C2 BOOK
Data Entry,Wrong Batch,"STAT BATCH, NOT ON DOC"
Data Entry,Wrong Batch,STAT BATCH - NO DOCUMENTATION
Fulfillment DLY,Label Issue,WONT SCAN - TX VOIDED
Fulfillment DLY,Packaging,*14D* HOMES ALL GO IN 1 PC
Data Entry,Billing Error,DOC COMPLETED BUT PENDING REJECTION IN QS1
Data Entry,Billing Error,DOC COMPLETED WITH PENDING REJ
Pharmacist,Procedure,DOCUMENT NEVER SENT TO ER. PENDING REJECTION
Fulfillment DLY,Extra/Missing Pill(s),JUMPER
Pharmacist,Back Screen/Days Supply,DAY SUPPLY SHOULD'VE BEEN 2 DAYS FOR THE AMOUNT WE FILLED
Data Entry,Back Screen/Days Supply,DAY SUPP SHOULD'VE BEEN 2 DAYS NOT 6
Fulfillment DLY,Label Issue,BATCH - 545AM BATCH IN 645 BIN.  ZONES DONT GO 645
Fulfillment DLY,Label Issue,BATCH - 445 MON BATCH - IN 645 SAT BIN.  TUNLAND DOESN'T GO WEEKENDS WITHOUT A YT
Fulfillment DLY,Label Issue,BATCH - TUNGLAND IN 645 SAT BIN WITH A 445 MON BATCH
Fulfillment DLY,Label Issue,RIGHT BATCH / WRONG BIN COLOR
Fulfillment DLY,Label Issue,RIGHT BATCH / WRONG BIN COLOR
Fulfillment DLY,Label Issue,"NO BATCH, BUT ZONES DON'T GO 645 UNLESS YT.  WRONG BIN COLOR"
Data Entry Misc,Wrong Batch,ATP DOESN'T GO ON THE 145
Fulfillment DLY,Drug/Strength (FF),CRM VS OINTMENT
Data Entry,Drug,"
"
Billing,Matrix Error,The insurance profile and billing matrix screens for University Family Care was not set up correctly.
Data Entry,Rx Origin,"
"
Billing,Procedure,"NO HOSPICE COPY "
Data Entry,Refill Request,NO RFS
Data Entry,Missed Order,doc not faxed to fac
Cycle Fill,Procedure (FF),missed order
Cycle Fill,Procedure (FF),not filled
Cycle Fill,Procedure (FF),qod order filled in first 14 days
Cycle Fill,Procedure (FF),"sig q mon/thu, filled first 8 days"
Cycle Fill,Procedure (FF),packed med in wrong wpc time
Billing,Matrix Error,The insurance profile and billing matrix screens were not set up correctly for UHC plan AHCCCS.
Billing,Billing Error,PROCESSED WRONG PAYMENT AMOUNT INSTEAD OF WHAT WAS ENTERED ON PAYMENT FORM
Billing,Billing Error,WRONG PAYMENT AMOUNT PROCESSED
Billing,New Admit Process,The insurance profile and billing matrix screens were both left blank.
Data Entry,Billing Error,TECH WENT AND CHANGED CAREFIRST TO INCORRECT CARE1ST PLAN
Data Entry,Billing Error,OTC was cashed out for an AHCCCS patient.  Mercy Care pays for this.
Billing,Billing Error,CTAL receives P5 pricing on OTC's.  (OTC was billed as Extended Care).
Data Entry,Document Error,"DOC WAS INCOMPLETE , INS AND I WAS MISSING "
Billing,Matrix Error,The billing matrix and insurance screen was not set up correctly.
Pharmacist,Procedure,WRONG Q
Billing,Matrix Error,"Matrix screen said, ""Med D/Private"" with Mercy Care Non SMI in the secondary payor field.  Should be ""Med D/Dual"" with Mercy Care Non SMI in the secondary payor field."
Data Entry,Billing Error,LF 05/02
Billing,Charge Account,"The Bella Vita price plan was selected, but the charge account was left as the patient's.  "
Billing,Billing Error,OTC was cashed out.  The AHCCCS plan was not attempted.  Mercy Care pays for this as secondary.
Billing,New Admit Process,"The ""Insurance Information"" and ""Billing Info"" screens were both left blank.  This caused all of her medications to bill to the U&C price plan. "
Billing,Billing Error,BGMC receives P5 pricing on OTC's.  (OTC was billed as Extended Care).
Fulfillment CF,Label Not Scanned,ACCIDENTALLY PUT A DIFF RX FIRST TIME
Data Entry,Triage,HOA
Data Entry,SIG/MULTI-SIG/DIRECTIONS,6PM VS 6AM IN SIG - HOA IS CORRECT
Fulfillment DLY,Drug/Strength (FF),INCORRECT SELECTION OF PRODUCT
Fulfillment DLY,Label Issue,LABEL WONT SCAN-DUPE FILL
Fulfillment DLY,Procedure (FF),NO BACK-STAMP ON A  C2 PARTIAL FILL
Fulfillment CF,Drug/Strength (FF),MIXED TABS - SYNMED
Fulfillment CF,Drug/Strength (FF),MIXED TABS - SYNMED
Fulfillment CF,Packaging,SOMETHING INSIDE BUBBLE WITH MED?
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION
Fulfillment CF,Patient (FF),MIXED PATIENTS
Fulfillment CF,Patient (FF),MIXED PATIENTS
Fulfillment DLY,Extra/Missing Pill(s),JUMPER
Fulfillment DLY,Label Issue,MISSED STAT BATCH
Data Entry,Wrong Batch,CASA GRANDE DOES NOT GO ON THE 645
Data Entry,Wrong Batch,ASVH DOES NOT NEED A YT TAG BATCH FOR ANY RUN
Data Entry,Wrong Batch,ASVH DOES NOT NEED A YT TAG BATCH FOR ANY RUN
Data Entry,Wrong Batch,ASVH DOES NOT NEED A YT TAG BATCH FOR ANY RUN
Data Entry,Wrong Batch,SWO8 - NO DOC SUPPORTING YT BBATCH
Data Entry,Wrong Batch,SWO8 - NO DOC SUPPORTING YT BBATCH
Data Entry,Wrong Batch,SWO8 - NO DOC SUPPORTING YT BBATCH
Data Entry,Wrong Batch,ZN BATCHED 645 WITH NO DOCUMENTATION
Data Entry,Wrong Batch,ZN BATCHED 645 WITH NO DOCUMENTATION
Data Entry,Wrong Batch,ZN BATCHED 645 WITH NO DOCUMENTATION
Data Entry,Wrong Batch,ZN BATCHED 645 WITH NO DOCUMENTATION
Data Entry,Drug,NOT ER QUETIAPINE
Data Entry,Procedure,1 IN FL
Data Entry,Refills missed/wrong,WASN'T ADDED
Data Entry,Missed Order,"
"
Data Entry,Billing Error,did not reverse and void claim
Data Entry,Billing Error,did not reverse and void claim
Data Entry Misc,Billing Error,DID NOT REVERSE AND VOID CLAIM
Data Entry Misc,Billing Error,DID NOT REVERSE AND VOID CLAIM
Data Entry Misc,Billing Error,DID NOT REVERSE AND VOID CLAIM
Data Entry,Billing Error,DID NOT REVERSE AND VOID CLAIM
Data Entry,Billing Error,DID NOT REVERSE AND VOID MED
Data Entry,Billing Error,DID NOT REVERSE AND VOID MED
Data Entry,Billing Error,DID NOT VOID CLAIM
Data Entry,Billing Error,DID NOT REVERSE AND VOID CLAIM
Pharmacist,Billing Error,DID NOT REVERSE AND VOID CLAIM
Data Entry,Billing Error,DID NOT VOID CLAIM
Data Entry Misc,Billing Error,DID NOT VOID CLAIM
Data Entry,Billing Error,DID NOT REVERSE AND VOID CLAIM
Data Entry,Billing Error,DID NOT REVERSE AND VOID CLAIM
Data Entry,Billing Error,DID NOT REVERSE AND VOID CLAIM
Data Entry Misc,Billing Error,DID NOT REVERSE AND VOID CLAIM
Pharmacist,Procedure,DOC COMPLETED INSTEAD OF SENDING TO ER. PENDING REJECTION MISSED
Data Entry,Procedure,"DOC COMPLETED, PENDING REJECTION MISSED"
Billing,Document Error,PLACED PAYMENT DOC IN CR/RB QUEUE WHICH WAS FOUND ON 5/14/2020 AND MOVED OVER
Data Entry,Billing Error,DID NOT FILL MEDICATION FOR CF
Data Entry,Document Error,"NOT PA DOC, THIS IS WORKMAN COMP DOC "
Pharmacist Rotating Night,Billing Error,FILLED EVEN THOUGH IT SAID PROFILE
Billing,Document Error,BILLING AGREEMENT ADDRESS IS FOR PATIENT AND IT WAS NOT UPDATED (DRT GOT BILL AND SHOULD BE PT)
Billing,Document Error,HIPPA FORM NOT UPDATED IN QS/1 OR ASSOCIATED TO PATIENTS PROFILE
Billing,Document Not Associated,HIPPA FORM NOT UPDATED IN QS/1 OR ASSOCIATED TO PATIENTS PROFILE
Fulfillment DLY,Label Issue,SPIT SIG NOT CORRRECT
Fulfillment DLY,Packaging,CRISIS FILLED IN PC
Fulfillment DLY,Packaging,CRISIS IN PC
Data Entry,Wrong Batch,SUNVIEW BATCHED 445 MON
Data Entry,Wrong Batch,RTP 445 MON
Data Entry,Wrong Batch,SUSS BATCHED 445 MON
Fulfillment DLY,Label Not Scanned,DUPE FILL
Fulfillment DLY,Procedure (FF),EMPLOYEE CONTROL IN A PC
Fulfillment DLY,Extra/Missing Pill(s),"C2 FILL - NO LABEL FOR BOOK, CRUSHED TAB, JUMPER"
Fulfillment DLY,Label Issue,"C2 FILL - NO LABEL FOR BOOK, CRUSHED TAB, JUMPER"
Fulfillment DLY,Packaging,"C2 FILL - NO LABEL FOR BOOK, CRUSHED TAB, JUMPER"
Fulfillment DLY,Label Issue,445MON BATCH IN 145 BIN COLOR
Fulfillment DLY,Label Issue,WRONG BIN COLOR FOR LABEL BATCH
Fulfillment DLY,Label Issue,LABEL WON'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WON'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WONT SCAN - TX VOIDED AND QUANTITY CHANGED
Fulfillment DOSIS,Label Issue,DUPE FILL - DOSIS
Fulfillment DLY,Label Issue,DUPE FILL W/ DOSIS
Fulfillment DLY,Label Issue,"LABEL BATCHED 445 MON, BUT PLACED IN A 645 SAT BIN"
Fulfillment DLY,Label Issue,LABEL WON'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WON'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WON'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL WON'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,UNBATCHED ZN IN A 645 BIN.  ZN'S DON'T GO 645
Fulfillment DLY,Label Issue,ZN IN 645 BIN.  ZN DON'T GO 645
Fulfillment DLY,Label Issue,ATP DOEN'T GO 645 SAT
Billing,Charge Account,"WRONG CHARGE ACCOUNT LOADED UP, SHOULD HAVE BEEN IHSB INSTEAD OF CRISIS"
Fulfillment DOSIS,Label Issue,DOSIS DUPE
Data Entry Misc,Procedure,"IV AND SUPPLIES FILLED, FLOW SHEET WAS NOT COMPLETED"
Data Entry,Wrong Batch,ATP DOES NOT GO ON THE 645 SUN
Data Entry,Wrong Batch,TUNGLAND WILL ONLY GO WEEKENDS IF IT IS A YT.
Data Entry,Wrong Batch,TUNGLAND WILL ONLY GO WEEKENDS IF IT IS A YT.
Data Entry,Wrong Batch,TUNGLAND WILL ONLY GO WEEKENDS IF IT IS A YT.
Data Entry,Wrong Batch,TUNGLAND WILL ONLY GO WEEKENDS IF IT IS A YT.
Data Entry,Wrong Batch,TUNGLAND WILL ONLY GO WEEKENDS IF IT IS A YT.
Data Entry,Wrong Batch,TUNGLAND WILL ONLY GO WEEKENDS IF IT IS A YT.
Data Entry,Wrong Batch,TUNGLAND WILL ONLY GO WEEKENDS IF IT IS A YT.
Data Entry,Wrong Batch,TUNGLAND WILL ONLY GO WEEKENDS IF IT IS A YT.
Data Entry,Wrong Batch,TUNGLAND WILL ONLY GO WEEKENDS IF IT IS A YT.
Data Entry,Wrong Batch,TUNGLAND WILL ONLY GO WEEKENDS IF IT IS A YT.
Data Entry,Wrong Batch,TUNGLAND WILL ONLY GO WEEKENDS IF IT IS A YT.
Data Entry,Wrong Batch,645 BATCH ON A ZN HOME
Fulfillment DLY,Label Issue,DOSIS DUPE FILL
Fulfillment CF,Packaging,DOSIS-PAPER IN CELL
Fulfillment CF,Packaging,DOSIS-PAPER IN CELL
Fulfillment CF,Extra/Missing Pill(s),DOSIS-JUMPER
Fulfillment CF,Extra/Missing Pill(s),DOSIS-JUMPER
Fulfillment CF,Extra/Missing Pill(s),DOSIS-JUMPER
Fulfillment PA,Extra/Missing Pill(s),DOSIS
Fulfillment CF,Extra/Missing Pill(s),DOSIS
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION
Fulfillment CF,Extra/Missing Pill(s),SYNMEND-JUMPER
Fulfillment CF,Extra/Missing Pill(s),SYNMED
Fulfillment CF,Extra/Missing Pill(s),SYNMED
Fulfillment CF,Missing Drug (FF),SYNMED-EMPTY CARD
Fulfillment DLY,Label Issue,BATCH - 545 MON IN 645 SUN BIN
Data Entry,Wrong Batch,ZONES DONT GO 645 WITHOUT A YT
Data Entry,Wrong Batch,ASCEND DOESN'T GET THE 645 SUN WITHOUT A YT
Data Entry,Wrong Batch,ASCEND DOESN'T GET THE 645 SUN WITHOUT A YT
Data Entry,Wrong Batch,ASCEND DOESN'T GET THE 645 SUN WITHOUT A YT
Data Entry,Wrong Batch,ASCEND DOESN'T GET THE 645 SUN WITHOUT A YT
Fulfillment DLY,Label Issue,DOSIS - DUPE FILL
Data Entry Misc,Wrong Batch,ASCEND ONLY GOES 645 WITH A YT
Data Entry,Triage,"DOC PLACED INTO WRONG QUEUE, ADMITS DONT GO INTO BILLING TRIAGE. PT WAS NEVER ADMITTED UNTIL 5/17 BECAUSE THEY REFAXED "
Data Entry,Wrong Batch,PASEO VILLAGE DOES NOT GO 645 SUN
Fulfillment CHG,Packaging,PULLED INSTITUTIONAL SIZE INHALER INSTEAS OF REGULAR SIZE
Fulfillment DOSIS,Label Issue,DOSIS DUPE FILL
Billing,Tickler,"WRONG TICKLER DATE "
Data Entry,Doctor/MDO (Order),"WRONG MDO PROFILE , ADDRESS , PHONE AND FAX ARE INCORRECT "
Data Entry,Doctor/MDO (Order),"WRONG PROFILE WAS SELECTED "
Data Entry,Doctor/MDO (Order),WRONG MDO PROFILE WAS SELECTED
Cycle Fill,Quantity,"sig half-tab, filled whole tab"
Cycle Fill,Procedure (FF),5pm and 8pm packed together in WPC
Data Entry,Drug,insulin pen entered as vial
Fulfillment,Procedure (FF),cover page says po; set orders to fill
Data Entry,Missed Order,cover page says po; set order to fill
Cycle Fill,Quantity,sig 2 tabs; filled 1
Cycle Fill,Drug/Strength (FF),unidentified pill mixed in vial order
Data Entry,SIG/MULTI-SIG/DIRECTIONS,FL not removed on rfcf multisig
Data Entry,Triage,2 PATIENTS STAPLED TOGETHER
Data Entry,Triage,"SUNVIEW NOT MARKED STAT, MARKED  945 IN BILLING QUEUE"
Billing,Matrix Error,The billing matrix for UHC was not set up correctly.
Data Entry,Triage,2 PATIENTS STAPLED TOGETHER AND PLACED IN ADMITS
Data Entry,Triage,CLIV/PRM IS NOT TO BE MARKED DIRTY PER PROCEDURE
Data Entry,Doctor/MDO (Order),"WRONG MDO PROFILE "
Billing,Document Error,"WRONG PROVIDER ON PA FORM "
Billing,Document Error,"DOC INCOMPLETE, MISSING INSURANCE INFORMATION"
Billing,Document Error,PA WAS MISSING INFORMATION VIA CMM
Billing,Billing Error,"PA WAS SENT TO OUR Q , BUT THIS WAS JUST REFILL TOO SOON"
Data Entry,Document Error,"PA DOC WAS NOT COMPLETE , IT WAS MISSING INSURANCE NAME, PHONE AND ID #"
Billing,Matrix Error,"The insurance screen should have Extended Care in there.  The billing matrix screen should have ""Insurance"" entered in per DHB.  Both screens were left blank."
Data Entry,Billing Error,HECA receives P5 pricing for OTC's.  OTC was billed as Extended Care.
Billing,Billing Error,PQ receives P5 pricing for OTC's.  OTC was billed as Extended Care.
Billing,Billing Error,INCORRECT INS PLAN SELECTED WHEN PT ADMITTED PLAN SHOULD BE FOR UHC NOT AZ COMPLETE
Data Entry,Patient,STAPLED 2 PT'S TOGETHER
Billing,Billing Error,ZCPA receives Brookdale Cash pricing on all OTC's.  OTC was billed as Extended Care.
Data Entry,Billing Error,ACSS receives P5 pricing on OTC's.  OTC was billed as Extended Care pricing.
Data Entry,Billing Error,s6 receives P5 pricing on OTC's.  OTC was billed as Extended Care.
Data Entry,Billing Error,s4 receives P5 pricing for OTC's.  OTC was billed as Extended Care pricing.
Billing,Billing Error,SWHC receives P5 pricing on OTC's.  OTC was billed as Extended Care pricing.
Billing,Matrix Error,"The insurance profile and billing matrix screens for UHC was not set up correctly.  "
Data Entry,Other,TWO DOCUMENTS FOR DIFFERENT PATIENTS STAPLED TOGETHER
Data Entry,Date Written,MISSING *AND*
Data Entry,SIG/MULTI-SIG/DIRECTIONS,MISSING *AND*
Data Entry,Date Written,WRONG QUEUE
Data Entry,Doctor/MDO (Order),WRONG QUEUE
Data Entry,Procedure,WRONG QUEUE
Data Entry,Rx Origin,WRONG QUEUE
Data Entry,Triage,HOA
Data Entry,Triage,HOA
Data Entry,Other,"FILL, NOT PROFILE"
Data Entry,Other,"FILL, NOT PROFILE"
Data Entry,Other,"FILL, NOT PROFILE"
Other,Triage - Did Not Fax,Test
Other,Matrix Error,test2
Other,Triage - Did Not Fax,test3
Other,Matrix Error,TEST FROM SEC121
Other,Triage - Incorrect # CHG,teST 2 FROM SEC121
Other,Triage - Missed D/C,TEST2 FROM SEC121
Other,Triage - Incorrect # CHG,test from remote pc
Other,Triage - Incorrect # CHG,test2
Data Entry,Billing Error,"SAME MEDICATION FILLED YESTERDAY, THIS SHOULD HAVE BEEN P.O"
Data Entry,Triage,HOA
Other,Triage - Incorrect # CHG,test from nate account
Other,Triage - Incorrect # CHG,test2 from nate account
Data Entry,Other,MULTIPLE PATIENTS WERE STAPLED INTO THE SAME DOCUMENT.
Data Entry,Procedure,REFILL RESPONSE LEFT IN TRIAGE INSTEAD OF BEING MOVED TO REFILL QUEUE BY PERSON TAKING REFILL AUTHORIZATION.
Fulfillment DLY,Label Issue,LABEL WONT SCAN - DUPE FILL
Fulfillment DLY,Extra/Missing Pill(s),DOSIS
Data Entry,Other,"TWO PATIENTS WERE STAPLED TOGETHER IN THE SAME DOCUMENT. "
Fulfillment DLY,Label Issue,MISSED SPLIT SIG
Data Entry,Wrong Batch,ZONES DON'T GO ON THE 945 WITHOUT A YT BATCH
Data Entry,Wrong Batch,ZONES DON'T GO ON THE 945 WITHOUT A YT BATCH
Data Entry,Wrong Batch,ZONES DON'T GO ON THE 945 WITHOUT A YT BATCH
Data Entry,Wrong Batch,ZONES DON'T GO ON THE 945 WITHOUT A YT BATCH
Data Entry,Procedure,"TYPED TWICE. EVEN ASKED ABOUT ORDER IN TEAMS 
"
Data Entry,Wrong Batch,TUNGLAND DOESN'T GO WEEKENDS WITHOUT A YT
Fulfillment DLY,Packaging,SHOULD BE 1/2 TABS
Fulfillment DLY,Packaging,CALVARY IS PACKAGED IN FEWEST PC POSSIBLE
Fulfillment DLY,Packaging,INCORRECT TAPER
Data Entry Misc,Wrong Batch,ATP DOESN'T GO 145 SUN
Fulfillment DLY,Extra/Missing Pill(s),JUMPER
Data Entry,Wrong Batch,TUNGLAND DOESN'T GO SUNDAY WITHOUT A YT
Fulfillment DLY,Packaging,SHOULD BE 2/BUBBLE
Data Entry Misc,Wrong Batch,AZPH IS OUT OF TOWN AND DOES NOT GO ON THE SUN 145
Fulfillment DLY,Extra/Missing Pill(s),JUMPER
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment CHG,Packaging,ALF PACKAGED LIKE SNF
Fulfillment CHG,Packaging,SHOULD BE 4/BUBBLE
Fulfillment CHG,Label Issue,MISSED SPLET SIG
Fulfillment CF,Packaging,SHOULD BE 2 CARDS OF 21 BUBBLES
Data Entry,ICD,"
"
Data Entry,HOA/FREQUENCY/FILL LIST,"
"
Data Entry,SIG/MULTI-SIG/DIRECTIONS,"
"
Data Entry,ICD,"
"
Data Entry,Triage,HOA
Data Entry,Triage,HOA
Data Entry,Doctor/MDO (Order),"WRONG MDO PROFILE WAS SELECTED ON ALL 9 RX "
Data Entry,Other,TWO PATIENTS WERE STAPLED IN THE SAME DOCUMENT.
Data Entry,Other,TWO PATIENTS WERE STAPLED IN THE SAME DOCUMENT.
Fulfillment SYNMED,Extra/Missing Pill(s),DXL
Data Entry,ICD,"
"
Data Entry,Date Written,"
"
Billing,New Admit Process,"The insurance profile and billing matrix screens were both left blank upon admission, causing meds to go out the door billed to the U&C price plan."
Data Entry,Document Not Associated,ASSOCIATE
Data Entry,Triage,ASSOCIATE
Billing,Matrix Error,The insurance profile and billing matrix screens were not set up correctly for UHC plan AHCCCS.
Billing,Matrix Error,UHC plan AHCCCS should not be active on two lines in the billing matrix screen.
Fulfillment DLY,Label Issue,LABEL WON'T SCAN - TX VOIDED
Fulfillment SYNMED,Label Issue,NO DRUG DESCRIPTION
Fulfillment DLY,Quantity,EXTRA ENOXAPARIN SYRINGE
Data Entry,Wrong Batch,ZONES DON'T GO 945 WITHOUT A YT
Data Entry,Doctor/MDO (Order),"
"
Data Entry Misc,Wrong Batch,WE DON'T GO TO CASA GRAND ON THE 145
Fulfillment DLY,Label Issue,WRONG BIN COLOR FOR BATCH ON LABEL
Data Entry Misc,Wrong Batch,CASA GRAND DOESN'T GO ON THE 145
Fulfillment DLY,Label Issue,WRONG BIN COLOR FOR BATCH ON LABEL
Fulfillment DLY,Label Issue,WRONG BIN COLOR FOR BATCH ON LABEL
Data Entry,Wrong Batch,ZONES DON'T GO 645 UNLESS YT BATCH
Fulfillment SYNMED,Label Issue,no drug description
Fulfillment SYNMED,Label Issue,no drug description
Data Entry,Wrong Batch,ZONES DON'T GO 645 UNLESS THEY HAVE A YT  BATCH
Fulfillment DLY,Label Issue,MISSED STAT BATCH
Fulfillment DLY,Extra/Missing Pill(s),DOSIS
Fulfillment DLY,Label Issue,MISSED SPLIT SIG
Fulfillment DLY,Label Issue,WRONG BIN COLOR FOR LABEL BATCH
Fulfillment DLY,Quantity,5ML VS 10ML
Fulfillment DLY,Packaging,SNF LIKE ALF
Data Entry,Procedure,NO DOCUMENT IN DAILIES FILL FOR A YT
Data Entry,Procedure,NO DOCUMENT IN DAILIES FILL FOR A YT
Fulfillment DLY,Packaging,PATCHES ARE TO GO IN BAGGIES NOW
Data Entry,Wrong Batch,ZONES DON'T GO 645 WITHOUT A YT
Data Entry,Wrong Batch,ZONES DON'T GO 645 WITHOUT A YT
Data Entry,Wrong Batch,ZONES DON'T GO 645 WITHOUT A YT
Data Entry,Wrong Batch,TUNGLAND DOESN'T GO WEEKENDS WITHOUT A YT
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN - DUPE FILL
Fulfillment DLY,Label Issue,LABEL DOESN'T SCAN -TRANSACTION VOIDED
